| ticks:338 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:350 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:361 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:372 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:383 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:404 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:415 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:444 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:455 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:466 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:477 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:488 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:500 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:511 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:522 | x-axis=-217 | y-axis=23 | z-axis=-193 |
| ticks:542 | x-axis=278 | y-axis=-228 | z-axis=-218 |
| ticks:552 | x-axis=278 | y-axis=-228 | z-axis=-218 |
| ticks:568 | x-axis=278 | y-axis=-228 | z-axis=-218 |
